step_min,2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr,2000yr,5000yr,10000yr,PMP
930,4.46,14.46,26.7,48.05,59.53,73.43,90.35,118.5,145.26,204.75,268.29,287.71,664.21
935,4.3,13.13,24.21,46.51,57.61,71.06,87.43,114.65,140.55,198.01,259.46,278.23,649.55
940,4.17,11.85,21.83,45.12,55.88,68.93,84.8,111.2,136.31,191.77,251.27,269.45,635.99
945,4.05,10.71,19.72,43.85,54.3,66.97,82.39,108.03,132.43,186.23,244.01,261.66,624.05
950,3.94,9.72,17.89,42.68,52.85,65.18,80.18,105.14,128.87,181.31,237.55,254.73,613.73
955,3.84,8.85,16.28,41.59,51.51,63.52,78.13,102.44,125.57,176.8,231.64,248.4,604.87
960,3.74,8.1,14.9,40.58,50.24,61.96,76.21,99.92,122.47,172.61,226.15,242.51,597.47
965,3.65,7.49,13.77,39.63,49.07,60.51,74.42,97.57,119.59,168.68,220.99,236.98,591.21
970,3.57,6.97,12.82,38.75,47.97,59.15,72.74,95.37,116.9,164.99,216.15,231.79,585.45
975,3.49,6.52,11.99,37.91,46.93,57.86,71.16,93.29,114.35,161.49,211.58,226.88,579.69
980,3.42,6.14,11.27,37.11,45.94,56.64,69.66,91.32,111.92,158.17,207.22,222.21,573.49
985,3.34,5.8,10.66,36.36,45.01,55.49,68.24,89.46,109.65,155.03,203.1,217.8,566.39
990,3.28,5.51,10.13,35.66,44.13,54.41,66.91,87.71,107.5,152.05,199.2,213.61,558.27
995,3.21,5.27,9.67,34.98,43.3,53.38,65.64,86.05,105.46,149.21,195.47,209.61,549.45
1000,3.16,5.07,9.31,34.34,42.5,52.39,64.42,84.45,103.5,146.49,191.91,205.79,540.34
1005,3.1,4.91,9.0,33.72,41.74,51.45,63.26,82.93,101.63,143.91,188.53,202.17,531.41
1010,3.04,4.74,8.7,33.13,41.0,50.54,62.14,81.45,99.83,141.45,185.3,198.7,522.78
1015,2.99,4.57,8.39,32.55,40.28,49.65,61.06,80.03,98.08,139.08,182.2,195.38,514.83
1020,2.94,4.42,8.1,32.0,39.59,48.8,60.01,78.65,96.39,136.82,179.23,192.19,507.64
1025,2.89,4.27,7.83,31.46,38.93,47.99,59.0,77.33,94.77,134.66,176.41,189.17,501.26
1030,2.84,4.12,7.56,30.95,38.3,47.2,58.03,76.06,93.21,132.58,173.68,186.24,495.82
1035,2.79,3.99,7.31,30.46,37.68,46.44,57.1,74.84,91.72,130.56,171.03,183.4,491.4
1040,2.74,3.85,7.07,29.98,37.09,45.71,56.2,73.66,90.27,128.61,168.47,180.66,487.79
1045,2.7,3.72,6.83,29.52,36.52,45.01,55.34,72.52,88.87,126.72,165.99,177.99,484.77
1050,2.65,3.6,6.61,29.07,35.96,44.31,54.48,71.4,87.5,124.86,163.56,175.39,482.19
1055,2.61,3.51,6.43,28.63,35.41,43.64,53.65,70.31,86.16,123.08,161.22,172.88,480.0
1060,2.57,3.43,6.29,28.2,34.88,42.98,52.84,69.25,84.86,121.37,158.98,170.48,478.17
1065,2.54,3.36,6.16,27.79,34.37,42.35,52.07,68.23,83.61,119.7,156.8,168.14,476.63
1070,2.5,3.3,6.05,27.38,33.87,41.74,51.31,67.24,82.39,118.06,154.65,165.83,475.33
1075,2.47,3.26,5.97,27.0,33.39,41.15,50.58,66.29,81.23,116.47,152.57,163.6,474.27
1080,2.43,3.21,5.89,26.63,32.94,40.59,49.9,65.39,80.12,114.97,150.6,161.49,473.42
1085,2.4,3.18,5.83,26.29,32.51,40.06,49.24,64.53,79.07,113.53,148.72,159.47,472.7
1090,2.37,3.15,5.78,25.96,32.1,39.55,48.62,63.71,78.07,112.14,146.89,157.51,472.11
1095,2.34,3.13,5.74,25.65,31.72,39.08,48.04,62.95,77.13,110.82,145.15,155.65,471.68
1100,2.32,3.11,5.7,25.35,31.35,38.62,47.48,62.21,76.23,109.53,143.47,153.84,471.36
1105,2.29,3.1,5.67,25.06,30.99,38.18,46.93,61.5,75.36,108.25,141.79,152.05,471.11
1110,2.26,3.08,5.65,24.78,30.64,37.75,46.4,60.8,74.5,107.0,140.15,150.28,470.93
1115,2.23,3.07,5.63,24.5,30.29,37.32,45.87,60.1,73.65,105.79,138.57,148.59,470.77
1120,2.2,3.07,5.62,24.21,29.94,36.89,45.34,59.4,72.79,104.62,137.03,146.93,470.59
1125,2.18,3.06,5.61,23.93,29.59,36.45,44.8,58.7,71.93,103.48,135.54,145.34,470.4
1130,2.15,3.06,5.6,23.65,29.24,36.02,44.27,58.0,71.07,102.38,134.1,143.79,470.25
1135,2.13,3.04,5.57,23.37,28.89,35.59,43.75,57.32,70.23,101.32,132.71,142.3,469.86
1140,2.1,3.01,5.52,23.09,28.55,35.17,43.22,56.63,69.39,100.26,131.33,140.82,468.8
1145,2.08,2.97,5.43,22.82,28.21,34.75,42.71,55.96,68.56,99.21,129.94,139.34,466.95
1150,2.05,2.9,5.31,22.56,27.89,34.35,42.22,55.31,67.77,98.18,128.59,137.88,464.03
1155,2.03,2.82,5.16,22.31,27.58,33.98,41.76,54.71,67.03,97.17,127.28,136.48,459.62
1160,2.01,2.72,4.98,22.08,27.3,33.62,41.32,54.13,66.33,96.19,125.98,135.09,453.68
1165,1.99,2.63,4.82,21.86,27.03,33.29,40.91,53.6,65.67,95.22,124.72,133.74,446.7
1170,1.96,2.57,4.71,21.65,26.76,32.96,40.51,53.07,65.02,94.27,123.47,132.4,439.14
1175,1.94,2.54,4.64,21.43,26.5,32.64,40.11,52.54,64.38,93.34,122.25,131.08,431.41
1180,1.92,2.51,4.59,21.22,26.23,32.31,39.7,52.01,63.72,92.43,121.06,129.81,423.77
1185,1.9,2.48,4.54,21.01,25.97,31.99,39.31,51.49,63.09,91.56,119.92,128.59,416.69
1190,1.88,2.46,4.51,20.81,25.72,31.68,38.93,51.0,62.48,90.73,118.84,127.42,410.22
1195,1.87,2.43,4.45,20.61,25.48,31.38,38.56,50.51,61.89,89.94,117.8,126.32,404.44
1200,1.85,2.4,4.39,20.41,25.23,31.07,38.19,50.02,61.29,89.19,116.82,125.26,399.58
1205,1.83,2.38,4.36,20.22,24.99,30.78,37.82,49.55,60.71,88.46,115.86,124.23,395.68
1210,1.82,2.39,4.38,20.04,24.76,30.5,37.48,49.09,60.15,87.73,114.9,123.21,392.43
1215,1.8,2.4,4.39,19.86,24.54,30.22,37.14,48.65,59.6,87.0,113.94,122.17,389.69
1220,1.78,2.4,4.39,19.68,24.32,29.95,36.8,48.2,59.06,86.25,112.96,121.12,387.41
1225,1.77,2.4,4.38,19.51,24.11,29.69,36.48,47.78,58.54,85.47,111.94,120.04,385.49
1230,1.75,2.38,4.36,19.34,23.91,29.44,36.17,47.38,58.05,84.68,110.91,118.92,383.81
1235,1.74,2.35,4.3,19.18,23.71,29.19,35.87,46.99,57.57,83.91,109.89,117.84,382.39
1240,1.72,2.32,4.24,19.02,23.51,28.95,35.57,46.59,57.08,83.17,108.92,116.8,381.24
1245,1.7,2.29,4.19,18.87,23.31,28.71,35.27,46.2,56.6,82.47,108.0,115.81,380.26
1250,1.69,2.27,4.15,18.71,23.12,28.46,34.97,45.81,56.12,81.79,107.12,114.86,379.4
